Gender,Child's First Name,Count
FEMALE,ETTY,15
FEMALE,EVA,64
FEMALE,EVE,22
FEMALE,EVELYN,39
FEMALE,FAIGA,16
FEMALE,FAIGY,72
FEMALE,FINLEY,11
FEMALE,FIONA,30
FEMALE,FRADEL,16
FEMALE,FRAIDY,26
FEMALE,FRANCESCA,33
FEMALE,FRIMET,10
FEMALE,GABRIELA,19
FEMALE,GABRIELLA,102
FEMALE,GABRIELLE,15
FEMALE,GEMMA,15
FEMALE,GENEVIEVE,12
FEMALE,GEORGIA,26
FEMALE,GIA,26
FEMALE,GIANNA,68
FEMALE,GIOVANNA,10
FEMALE,GITTEL,23
FEMALE,GITTY,82
FEMALE,GIULIANA,41
FEMALE,GOLDA,14
FEMALE,GOLDY,33
FEMALE,GRACE,93
FEMALE,GRETA,12
FEMALE,HADASSA,11
FEMALE,HADASSAH,15
FEMALE,HAILEY,34
FEMALE,HANNA,11
FEMALE,HANNAH,71
FEMALE,HARPER,30
FEMALE,HAZEL,18
FEMALE,HENNY,18
FEMALE,HINDY,37
FEMALE,IDY,10
FEMALE,ILANA,10
FEMALE,ISABEL,34
FEMALE,ISABELLA,160
FEMALE,ISABELLE,25
FEMALE,ISLA,14
FEMALE,IVY,15
FEMALE,IZABELLA,10
FEMALE,JACQUELINE,20
FEMALE,JANE,27
FEMALE,JASMINE,14
FEMALE,JENNA,22
FEMALE,JESSICA,22
FEMALE,JORDYN,11
FEMALE,JOSEPHINE,33
FEMALE,JOYCE,14
FEMALE,JULIA,116
FEMALE,JULIANA,38
FEMALE,JULIANNA,28
FEMALE,JULIE,10
FEMALE,JULIET,36
FEMALE,JULIETTE,23
FEMALE,KAITLYN,17
FEMALE,ARELY,12
FEMALE,KATE,17
FEMALE,KATHERINE,44
FEMALE,KATHRYN,12
FEMALE,KAYLA,45
FEMALE,KAYLEE,11
FEMALE,KIRA,11
FEMALE,KYLIE,13
FEMALE,LAILA,23
FEMALE,LARA,13
FEMALE,LAURA,18
FEMALE,LAUREN,26
FEMALE,LAYLA,29
FEMALE,LEA,29
FEMALE,LEAH,183
FEMALE,LEILA,10
FEMALE,LENA,29
FEMALE,LEORA,12
FEMALE,LIA,23
FEMALE,LIANA,17
